#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
399.9999999939972,-19086.952259491067,5482.191068915687,-13604.76119057538,293.758939867012,27.8
409.99999999376075,-19039.46631284337,5450.284261805853,-13589.182051037518,290.37358813437294,27.8
419.9999999935243,-18996.75213485618,5353.82924550234,-13642.922889353838,286.20122137465586,27.8
429.9999999932878,-19144.559754645994,5477.550922896335,-13667.00883174966,292.1473672955028,27.8
439.99999999305135,-18950.74789511793,5572.615180122248,-13378.132714995681,297.24341574657944,27.8
449.9999999928149,-18988.729693314228,5556.068744697502,-13432.660948616725,295.4832423021554,27.8
459.9999999925784,-19039.061844540924,5546.253711115212,-13492.808133425711,296.06342178785127,27.8
469.99999999234194,-18977.3940094847,5480.974986655146,-13496.419022829552,291.94103735957066,27.8
479.9999999921055,-19175.322574016714,5615.3961459543425,-13559.926428062372,298.8168841015105,27.8
489.999999991869,-19081.453982480663,5529.123222584957,-13552.330759895707,293.1982763571317,27.8
499.99999999163254,-19095.747636727243,5470.121809867056,-13625.625826860187,291.2792151515985,27.8
509.99999999139607,-19190.268408334352,5708.267261360255,-13482.001146974097,305.6448938222184,27.8
519.9999999911596,-19161.526468053285,5433.175304162583,-13728.351163890702,289.9244896374187,27.8
529.9999999909231,-19308.874200328548,5459.743518960615,-13849.130681367933,293.4294522583547,27.8
539.9999999906867,-18952.61682322336,5601.563963247382,-13351.052859975978,298.74564234766115,27.8
549.9999999904502,-18983.650089839288,5571.28249279168,-13412.367597047607,296.31600641078467,27.8
559.9999999902137,-18985.1329415708,5604.752340529975,-13380.380601040823,299.26799372569826,27.8
569.9999999899773,-19012.0119316453,5680.559461175692,-13331.452470469605,302.6919532633458,27.8
579.9999999897408,-19119.26189763911,5410.9530782140655,-13708.308819425045,288.55906597374207,27.8
589.9999999895043,-19373.33949165818,5690.217681949558,-13683.12180970862,302.4081173411901,27.8
599.9999999892678,-19097.772774512567,5657.86459547447,-13439.908179038097,302.4205975559777,27.8
609.9999999890314,-19167.695245048144,5546.404823585704,-13621.29042146244,295.80585940781833,27.8
619.9999999887949,-19173.129431454872,5319.8346902945,-13853.29474116037,283.39729487537124,27.8
629.9999999885584,-18964.549482207305,5521.889473254447,-13442.660008952858,294.735395646499,27.7
639.999999988322,-18924.73090588611,5573.452455866211,-13351.2784500199,296.26811237472543,27.7
649.9999999880855,-19152.8928343742,5707.064726108807,-13445.828108265394,304.6354080976957,27.7
659.999999987849,-19017.590966798794,5626.294658694982,-13391.296308103812,299.2339335199144,27.7
669.9999999876126,-19093.371675159735,5496.588597980625,-13596.783077179109,293.71951716700346,27.7
679.9999999873761,-19241.62745391384,5618.678196443897,-13622.949257469943,299.0361663973703,27.7
689.9999999871396,-19219.686959331073,5391.593662283293,-13828.09329704778,287.8303484895264,27.7
699.9999999869032,-19202.455817577284,5584.344643309319,-13618.111174267964,297.2696828843707,27.7
709.9999999866667,-19173.29504443813,5541.934424681856,-13631.360619756275,295.6923254061545,27.7
719.9999999864302,-18766.390066022468,5581.2954901183275,-13185.09457590414,296.5253423547013,27.7
729.9999999861938,-19184.059216344554,5558.401421738969,-13625.657794605586,296.8138755794922,27.7
739.9999999859573,-18937.012648592474,5451.686819007839,-13485.325829584635,292.1049933507247,27.7
749.9999999857208,-19133.258761198253,5577.12998456933,-13556.128776628922,297.291456484889,27.7
759.9999999854844,-19157.683594233225,5530.508935660987,-13627.17465857224,294.78746585076766,27.7
769.9999999852479,-19152.191378752777,5426.732911973907,-13725.45846677887,289.56549266807696,27.7
779.9999999850114,-19188.953645311543,5583.110009180347,-13605.843636131196,296.4389157750736,27.7
789.999999984775,-19077.450509945356,5740.132038428609,-13337.318471516748,305.11525013273274,27.7
799.9999999845385,-19538.415779051276,5695.516932117844,-13842.898846933433,303.9569222486206,27.7
809.999999984302,-19177.29994385615,5439.5047218686595,-13737.79522198749,289.4600366083538,27.7
819.9999999840655,-19346.357249587836,5510.421826545353,-13835.935423042483,291.9884405117726,27.7
829.9999999838291,-18976.48789211906,5745.058292878381,-13231.42959924068,307.9041344026272,27.7
839.9999999835926,-19274.72389077384,5620.195732176143,-13654.528158597695,300.4061137428993,27.7
849.9999999833561,-19153.06925980494,5623.374208062559,-13529.69505174238,299.63238022402635,27.7
859.9999999831197,-19392.175338095396,5629.062898385879,-13763.112439709517,301.10034185604934,27.7
869.9999999828832,-19326.563876738266,5711.522454224208,-13615.04142251406,303.5531900514129,27.7
879.9999999826467,-19004.437635631355,5617.249196823148,-13387.188438808207,297.9294013853867,27.7
889.9999999824103,-18838.18504671177,5484.765250122956,-13353.419796588812,291.9399027098138,27.7
899.9999999821738,-18953.777127298865,5517.955319202731,-13435.821808096134,294.8168248838916,27.7
909.9999999819373,-19273.63988101933,5547.17280518909,-13726.467075830242,295.22633588045824,27.7
919.9999999817009,-19340.775698457477,5629.677291673311,-13711.098406784167,300.74150624000185,27.7
929.9999999814644,-19323.46243734533,5664.604157408298,-13658.85827993703,301.17053912922705,27.7
939.9999999812279,-19073.730909250084,5428.039830859282,-13645.691078390802,289.49278610054176,27.7
949.9999999809914,-19091.882796132693,5605.906410891362,-13485.97638524133,298.1935868571179,27.7
959.999999980755,-19006.9187007009,5557.1003377326,-13449.818362968299,296.6377995012955,27.7
969.9999999805185,-19006.401448595145,5536.265012905384,-13470.136435689761,295.85036731730463,27.7
979.999999980282,-19306.188318767374,5490.246605786894,-13815.941712980479,291.7811574810663,27.7
989.9999999800456,-19059.999203582225,5596.872475223387,-13463.126728358839,297.3034278066732,27.7
999.9999999798091,-19156.4242939188,5521.150685000321,-13635.27360891848,293.89879096438466,27.7
1009.9999999795726,-19117.61067013579,5645.305560813396,-13472.305109322393,301.3250389391302,27.7
1019.9999999793362,-19277.787168958374,5562.467534967248,-13715.319633991126,296.4861707172177,27.7
1029.9999999804638,-19353.698523272247,5582.251024941988,-13771.447498330259,297.14353784707794,27.7
1039.999999982501,-18760.027598465753,5538.158973485378,-13221.868624980376,295.1403669200212,27.7
1049.9999999845384,-19031.463508152665,5715.743135152844,-13315.720372999822,304.7742233773497,27.7
1059.9999999865756,-18974.75013769587,5642.965573059985,-13331.784564635887,300.3151515036283,27.7
1069.999999988613,-18768.400404733693,5650.48930108941,-13117.911103644283,301.8114680393349,27.7
1079.9999999906502,-19329.76366298695,5259.60387390666,-14070.159789080288,280.7944983546014,27.7
1089.9999999926874,-19148.59099821828,5625.607950698163,-13522.983047520116,300.01942806353946,27.7
1099.9999999947247,-19233.613998168603,5723.942012506194,-13509.671985662408,303.58905151045263,27.7
1109.999999996762,-18856.135574257052,5534.733113951729,-13321.402460305322,295.7328174492376,27.7
1119.9999999987992,-19105.552824256225,5387.58321136714,-13717.969612889085,286.7238114525904,27.7
1130.0000000008365,-18997.305113111564,5541.351049756067,-13455.954063355497,296.11922549991607,27.7
1140.0000000028738,-19100.583018376637,5556.297900500198,-13544.28511787644,296.5419701838337,27.7
1150.000000004911,-19230.910683447473,5627.328915409631,-13603.581768037842,300.9438526600334,27.7
1160.0000000069483,-18939.484577305717,5261.665711260549,-13677.818866045167,280.58194210463375,27.7
1170.0000000089856,-19109.576838144567,5557.465737626361,-13552.111100518207,295.5934614393837,27.7
1180.0000000110228,-19022.385291781855,5536.2858363149235,-13486.09945546693,294.55736689360634,27.7
1190.0000000130601,-19107.911850563658,5707.324623267352,-13400.587227296306,305.24295712050775,27.7
1200.0000000150974,-19535.11417502793,5364.018878092221,-14171.09529693571,285.97399422384916,27.7
1210.0000000171347,-19415.114842314295,5596.475101618583,-13818.639740695711,298.84270803937545,27.7
1220.000000019172,-19043.507838198748,5724.728696676282,-13318.779141522466,304.38737024184263,27.7
1230.0000000212092,-19268.526750209552,5639.992967199335,-13628.533783010218,300.60375741325004,27.7
1240.0000000232465,-19247.78580021042,5522.734393507154,-13725.051406703264,294.6189910711929,27.7
1250.0000000252837,-19218.89140847827,5597.687367024458,-13621.204041453813,297.6207878696099,27.7
1260.000000027321,-18965.89018364289,5392.377526991624,-13573.512656651264,287.01002009209867,27.7
1270.0000000293583,-19073.71531035007,5793.242881598746,-13280.472428751325,309.5102584014764,27.7
1280.0000000313955,-19467.42664620034,5525.120203332389,-13942.30644286795,294.1238320881743,27.7
1290.0000000334328,-19384.09589527518,5701.703051354955,-13682.392843920225,302.7517288723397,27.7
1300.00000003547,-19129.00661185114,5599.391058106363,-13529.615553744776,298.05985844482626,27.7
1310.0000000375073,-18856.411873549303,5668.828822135771,-13187.583051413532,301.2361961587036,27.7
1320.0000000395446,-19099.683824374686,5602.15388901102,-13497.529935363666,299.3849029855699,27.7
1330.0000000415819,-19153.887005324992,5648.528101957166,-13505.358903367825,300.9621955240609,27.7
1340.0000000436191,-18957.63937302285,5575.351853143494,-13382.287519879355,298.25789734829857,27.7
1350.0000000456564,-19029.56104518266,5664.594421530257,-13364.966623652404,301.7217764149947,27.7
1360.0000000476937,-19194.969389923714,5656.149152517901,-13538.820237405813,302.86048778742713,27.7
1370.000000049731,-18935.998827587584,5594.648619620214,-13341.35020796737,297.9892256887412,27.7
1380.0000000517682,-19322.731177835125,5536.768216519713,-13785.962961315412,296.104782961563,27.7
1390.0000000538055,-19020.882270201306,5473.529076668047,-13547.353193533258,290.87996954624293,27.7
1400.0000000558427,-19104.834381684075,5387.673438449775,-13717.1609432343,287.72700956815163,27.7
1410.00000005788,-19031.922827695496,5489.970295145373,-13541.952532550124,292.5178236295638,27.7
1420.0000000599173,-18978.47631672186,5607.632495505012,-13370.843821216848,299.20999382159545,27.7
1430.0000000619546,-18998.790002168716,5561.552752140697,-13437.23725002802,297.0986465487006,27.7
1440.0000000639918,-19126.91486001965,5466.347181998955,-13660.567678020694,291.7026261545616,27.7
1450.000000066029,-19290.985750983036,5501.942873981928,-13789.04287700111,293.9892659788195,27.7
1460.0000000680664,-19407.759504801288,5555.03893574541,-13852.720569055879,296.4271952405358,27.7
1470.0000000701036,-18992.786691689114,5540.367247695735,-13452.419443993378,294.9388456461506,27.7
1480.000000072141,-19181.331238686507,5699.561790360308,-13481.769448326198,304.1536789691735,27.7
1490.0000000741782,-19062.557075473196,5848.213970948894,-13214.343104524301,310.48008849756496,27.7
1500.0000000762154,-19050.454803659613,5440.578152416834,-13609.87665124278,290.84954082432097,27.7
1510.0000000782527,-19415.636001507293,5764.2248163304985,-13651.411185176796,307.6216803879493,27.7
1520.00000008029,-19012.79047726122,5674.681643151533,-13338.108834109687,302.0196457807382,27.7
1530.0000000823272,-19205.40979627175,5565.146790479598,-13640.263005792152,296.0091841435236,27.7
